cr_id,trial,producer_model,evaluator_model,run_id,available_modules,known_interfaces,ours_output_file,baseline_output_file,evaluation_output_file,winner,why,ours_total_score,baseline_total_score,pure_fr_ours,pure_fr_baseline,fr_dp_bridge_ours,fr_dp_bridge_baseline,dp_im_bridge_ours,dp_im_bridge_baseline,pure_im_ours,pure_im_baseline,fr_im_bridge_ours,fr_im_bridge_baseline
CR-NGHE-001,1,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial1_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial1_20260223_012426.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial1_20260223_012435.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=20",22,20,5,3,4,5,4,3,5,4,4,5
CR-NGHE-001,1,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial1_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial1_20260223_012426.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial1_20260223_012435.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,4,3,3,4,4,3,4,3,3,4
CR-NGHE-001,1,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial1_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial1_20260224_092848.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial1_20260224_092907.json,,BASELINE,"Score totals (excluding N/A): ours=16, baseline=17",16,17,4,2,2,4,3,5,3,3,4,3
CR-NGHE-001,1,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial1_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial1_20260224_092848.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial1_20260224_092907.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,3,2,4,3,3,4,4,5,4,3
CR-NGHE-001,1,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-001_trial1_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial1_20260224_093026.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial1_20260224_093103.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=15",24,15,5,2,5,4,5,2,4,3,5,4
CR-NGHE-001,1,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-001_trial1_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-001_trial1_20260224_093026.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-001_trial1_20260224_093103.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=20",25,20,5,3,5,5,5,4,5,4,5,4
CR-NGHE-001,2,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-001_trial2_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial2_20260223_012452.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial2_20260223_012501.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=20",22,20,5,3,4,5,4,3,5,4,4,5
CR-NGHE-001,2,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-001_trial2_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-001_trial2_20260223_012452.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-001_trial2_20260223_012501.json,,OURS,"Score totals (excluding N/A): ours=18, baseline=17",18,17,4,3,3,4,4,3,4,3,3,4
CR-NGHE-001,2,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-001_trial2_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial2_20260224_093224.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial2_20260224_093246.json,,BASELINE,"Score totals (excluding N/A): ours=14, baseline=19",14,19,3,4,2,4,3,4,3,3,3,4
CR-NGHE-001,2,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-001_trial2_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-001_trial2_20260224_093224.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-001_trial2_20260224_093246.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=14",21,14,4,2,4,3,4,3,5,3,4,3
